car,overall_position,class_position,team,vehicle,class,group,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,driver_1,driver_2,driver_3
DragonSpeed USA #21,10,7,DragonSpeed USA,Oreca 07 - Gibson,LMP2,P/A,Spa,6,2021,158,6:01:00.342,4 Laps,2.239,Goodyear,Classified,82.0,2:06.392,199.5,Henrik HEDMAN,Juan Pablo MONTOYA,Ben HANLEY
Richard Mille Racing Team #1,11,8,Richard Mille Racing Team,Oreca 07 - Gibson,LMP2,,Spa,6,2021,158,6:02:22.851,4 Laps,1'22.509,Goodyear,Classified,83.0,2:08.144,196.8,Tatiana CALDERON,Sophia FLOERSCH,Beitske VISSER
High Class Racing #20,12,9,High Class Racing,Oreca 07 - Gibson,LMP2,P/A,Spa,6,2021,157,6:00:23.109,5 Laps,1 Laps,Goodyear,Classified,121.0,2:07.231,198.2,Jan MAGNUSSEN,Anders FJORDBACH,Dennis ANDERSEN
G-Drive Racing #25,13,10,G-Drive Racing,Aurus 01 - Gibson,LMP2,P/A,Spa,6,2021,157,6:01:11.900,5 Laps,48.791,Goodyear,Classified,52.0,2:07.442,197.8,John FALB,Rui ANDRADE,Roberto MERHI
PR1 Motorsports #24,14,11,PR1 Motorsports,Oreca 07 - Gibson,LMP2,P/A,Spa,6,2021,157,6:01:16.839,5 Laps,4.939,Goodyear,Classified,43.0,2:07.333,198.0,Patrick KELLY,Gabriel AUBRY,Simon TRUMMER
Porsche GT Team #92,15,1,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,,Spa,6,2021,153,6:00:39.401,9 Laps,4 Laps,Michelin,Classified,4.0,2:13.658,188.6,Kevin ESTRE,Neel JANI,
AF Corse #51,16,2,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,,Spa,6,2021,153,6:01:14.037,9 Laps,34.636,Michelin,Classified,55.0,2:14.577,187.4,Alessandro PIER GUIDI,James CALADO,
AF Corse #52,17,3,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,,Spa,6,2021,153,6:02:28.427,9 Laps,1'14.390,Michelin,Classified,2.0,2:14.785,187.1,Daniel SERRA,Miguel MOLINA,
Corvette Racing #63,18,4,Corvette Racing,Chevrolet Corvette C8.R,LMGTE Pro,,Spa,6,2021,152,6:01:03.835,10 Laps,1 Laps,Michelin,Classified,128.0,2:14.622,187.3,Antonio GARCIA,Oliver GAVIN,
Porsche GT Team #91,19,5,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,,Spa,6,2021,152,6:01:20.845,10 Laps,17.010,Michelin,Classified,124.0,2:14.631,187.3,Gianmaria BRUNI,Richard LIETZ,
AF Corse #83,20,1,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,Spa,6,2021,152,6:01:37.303,10 Laps,16.458,Michelin,Classified,80.0,2:14.111,188.0,François PERRODO,Nicklas NIELSEN,Alessio ROVERA
TF Sport #33,21,2,TF Sport,Aston Martin Vantage AMR,LMGTE Am,,Spa,6,2021,152,6:02:21.764,10 Laps,44.461,Michelin,Classified,57.0,2:14.598,187.3,Ben KEATING,Dylan PEREIRA,Felipe FRAGA
Cetilar Racing #47,22,3,Cetilar Racing,Ferrari 488 GTE Evo,LMGTE Am,,Spa,6,2021,151,6:01:25.630,11 Laps,1 Laps,Michelin,Classified,133.0,2:14.694,187.2,Roberto LACORTE,Giorgio SERNAGIOTTO,Antonio FUOCO
AF Corse #54,23,4,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,Spa,6,2021,151,6:01:34.474,11 Laps,8.844,Michelin,Classified,79.0,2:14.149,188.0,Thomas FLOHR,Francesco CASTELLACCI,Giancarlo FISICHELLA
Dempsey - Proton Racing #88,24,5,Dempsey - Proton Racing,Porsche 911 RSR - 19,LMGTE Am,,Spa,6,2021,151,6:01:52.403,11 Laps,17.929,Michelin,Classified,134.0,2:14.719,187.2,Andrew HARYANTO,Marco SEEFRIED,Alessio PICARIELLO
Aston Martin Racing #98,25,6,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Am,,Spa,6,2021,151,6:02:24.865,11 Laps,32.462,Michelin,Classified,81.0,2:15.093,186.6,Paul DALLA LANA,Augusto FARFUS,Marcos GOMES
D'Station Racing #777,26,7,D'Station Racing,Aston Martin Vantage AMR,LMGTE Am,,Spa,6,2021,150,6:00:22.375,12 Laps,1 Laps,Michelin,Classified,107.0,2:14.946,186.8,Satoshi HOSHINO,Tomonobu FUJII,Andrew WATSON
Iron Lynx #85,27,8,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,,Spa,6,2021,150,6:01:53.357,12 Laps,1'30.982,Michelin,Classified,55.0,2:15.121,186.6,Rahel FREY,Katherine LEGGE,Manuela GOSTNER
Iron Lynx #60,28,9,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,,Spa,6,2021,149,6:00:38.128,13 Laps,1 Laps,Michelin,Classified,52.0,2:14.863,187.0,Claudio SCHIAVONI,Andrea PICCINI,Matteo CRESSONI
Team WRT #31,29,12,Team WRT,Oreca 07 - Gibson,LMP2,,Spa,6,2021,127,6:01:42.133,35 Laps,22 Laps,Goodyear,Classified,127.0,2:06.550,199.2,Robin FRIJNS,Ferdinand HABSBURG,Charles MILESI
Dempsey - Proton Racing #77,30,10,Dempsey - Proton Racing,Porsche 911 RSR - 19,LMGTE Am,,Spa,6,2021,138,5:29:25.036,24 Laps,-11 Laps,Michelin,Not classified,107.0,2:15.210,186.5,Christian RIED,Jaxon EVANS,Matt CAMPBELL
G-Drive Racing #26,31,13,G-Drive Racing,Aurus 01 - Gibson,LMP2,,Spa,6,2021,125,4:40:45.426,37 Laps,13 Laps,Goodyear,Not classified,86.0,2:05.917,200.2,Roman RUSINOV,Franco COLAPINTO,Nick DE VRIES
GR Racing #86,32,11,GR Racing,Porsche 911 RSR - 19,LMGTE Am,,Spa,6,2021,0,,162 Laps,125 Laps,Michelin,Retired,,,,Michael WAINWRIGHT,Benjamin BARKER,Tom GAMBLE
ARC Bratislava #44,33,14,ARC Bratislava,Ligier JSP217 - Gibson,LMP2,P/A,Spa,6,2021,0,,162 Laps,,Goodyear,Retired,,,,Miroslav KONOPKA,Thomas JACKSON,Darren BURKE
Toyota Gazoo Racing #7,1,1,Toyota Gazoo Racing,Toyota GR010 HYBRID,HYPERCAR,H,Monza,6,2021,204,6:01:12.290,,,Michelin,Classified,181.0,1:36.951,215.1,Mike CONWAY,Kamui KOBAYASHI,Jose Maria LOPEZ
Alpine Elf Matmut #36,2,2,Alpine Elf Matmut,Alpine A480 - Gibson,HYPERCAR,,Monza,6,2021,204,6:02:13.198,1'00.908,1'00.908,Michelin,Classified,127.0,1:37.544,213.8,André NEGRÃO,Nicolas LAPIERRE,Matthieu VAXIVIERE
United Autosports USA #22,3,1,United Autosports USA,Oreca 07 - Gibson,LMP2,,Monza,6,2021,200,6:01:28.074,4 Laps,4 Laps,Goodyear,Classified,162.0,1:39.602,209.4,Philip HANSON,Fabio SCHERER,Filipe ALBUQUERQUE
Glickenhaus Racing #709,4,3,Glickenhaus Racing,Glickenhaus 007 LMH,HYPERCAR,,Monza,6,2021,200,6:01:56.384,4 Laps,28.310,Michelin,Classified,119.0,1:37.265,214.4,Romain DUMAS,Franck MAILLEUX,Richard WESTBROOK
Team WRT #31,5,2,Team WRT,Oreca 07 - Gibson,LMP2,,Monza,6,2021,200,6:02:25.770,4 Laps,29.386,Goodyear,Classified,4.0,1:39.782,209.0,Robin FRIJNS,Ferdinand HABSBURG,Charles MILESI
Racing Team Nederland #29,6,3,Racing Team Nederland,Oreca 07 - Gibson,LMP2,P/A,Monza,6,2021,200,6:02:50.983,4 Laps,25.213,Goodyear,Classified,8.0,1:39.969,208.6,Frits VAN EERD,Paul Loup CHATIN,Nyck DE VRIES
Inter Europol Competition #34,7,4,Inter Europol Competition,Oreca 07 - Gibson,LMP2,,Monza,6,2021,199,6:02:15.188,5 Laps,1 Laps,Goodyear,Classified,156.0,1:40.423,207.7,Jakub SMIECHOWSKI,Renger VAN DER ZANDE,Alex BRUNDLE
JOTA #28,8,5,JOTA,Oreca 07 - Gibson,LMP2,,Monza,6,2021,199,6:02:27.670,5 Laps,12.482,Goodyear,Classified,108.0,1:40.221,208.1,Sean GELAEL,Stoffel VANDOORNE,Tom BLOMQVIST
DragonSpeed USA #21,9,6,DragonSpeed USA,Oreca 07 - Gibson,LMP2,P/A,Monza,6,2021,199,6:02:51.647,5 Laps,23.977,Goodyear,Classified,62.0,1:39.915,208.7,Henrik HEDMAN,Juan Pablo MONTOYA,Ben HANLEY
Realteam Racing #70,10,7,Realteam Racing,Oreca 07 - Gibson,LMP2,P/A,Monza,6,2021,198,6:01:20.443,6 Laps,1 Laps,Goodyear,Classified,82.0,1:39.912,208.7,Esteban GARCIA,Loïc DUVAL,Norman NATO
Richard Mille Racing Team #1,11,8,Richard Mille Racing Team,Oreca 07 - Gibson,LMP2,,Monza,6,2021,198,6:02:22.632,6 Laps,1'02.189,Goodyear,Classified,167.0,1:40.843,206.8,Tatiana CALDERON,Sophia FLOERSCH,
High Class Racing #20,12,9,High Class Racing,Oreca 07 - Gibson,LMP2,P/A,Monza,6,2021,197,6:02:13.670,7 Laps,1 Laps,Goodyear,Classified,7.0,1:40.915,206.7,Jan MAGNUSSEN,Anders FJORDBACH,Dennis ANDERSEN
Risi Competizione #82,13,10,Risi Competizione,Oreca 07 - Gibson,LMP2,,Monza,6,2021,196,6:02:54.086,8 Laps,1 Laps,Goodyear,Classified,5.0,1:40.299,207.9,Ryan CULLEN,Oliver JARVIS,Felipe NASR
ARC Bratislava #44,14,11,ARC Bratislava,Ligier JSP217 - Gibson,LMP2,P/A,Monza,6,2021,191,6:02:48.039,13 Laps,5 Laps,Goodyear,Classified,4.0,1:41.392,205.7,Miroslav KONOPKA,Oliver WEBB,Matej KONOPKA
Porsche GT Team #92,15,1,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,,Monza,6,2021,190,6:01:17.213,14 Laps,1 Laps,Michelin,Classified,4.0,1:46.339,196.1,Kevin ESTRE,Neel JANI,
AF Corse #51,16,2,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,,Monza,6,2021,190,6:01:49.316,14 Laps,32.103,Michelin,Classified,4.0,1:46.475,195.9,Alessandro PIER GUIDI,James CALADO,
Porsche GT Team #91,17,3,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,,Monza,6,2021,190,6:02:08.359,14 Laps,19.043,Michelin,Classified,148.0,1:46.627,195.6,Gianmaria BRUNI,Richard LIETZ,
AF Corse #52,18,4,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,,Monza,6,2021,190,6:02:11.784,14 Laps,3.425,Michelin,Classified,4.0,1:46.592,195.7,Daniel SERRA,Miguel MOLINA,
AF Corse #83,19,1,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,Monza,6,2021,187,6:01:43.886,17 Laps,3 Laps,Michelin,Classified,6.0,1:46.917,195.1,François PERRODO,Nicklas NIELSEN,Alessio ROVERA
Aston Martin Racing #98,20,2,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Am,,Monza,6,2021,187,6:02:27.933,17 Laps,44.047,Michelin,Classified,183.0,1:47.129,194.7,Paul DALLA LANA,Augusto FARFUS,Marcos GOMES
D'Station Racing #777,21,3,D'Station Racing,Aston Martin Vantage AMR,LMGTE Am,,Monza,6,2021,187,6:02:28.732,17 Laps,0.799,Michelin,Classified,150.0,1:47.432,194.1,Satoshi HOSHINO,Tomonobu FUJII,Andrew WATSON
Team Project 1 #56,22,4,Team Project 1,Porsche 911 RSR - 19,LMGTE Am,,Monza,6,2021,187,6:02:46.482,17 Laps,17.750,Michelin,Classified,126.0,1:47.694,193.6,Egidio PERFETTI,Matteo CAIROLI,Riccardo PERA
Dempsey - Proton Racing #77,23,5,Dempsey - Proton Racing,Porsche 911 RSR - 19,LMGTE Am,,Monza,6,2021,186,6:01:29.804,18 Laps,1 Laps,Michelin,Classified,179.0,1:47.535,193.9,Christian RIED,Jaxon EVANS,Matt CAMPBELL
Dempsey - Proton Racing #88,24,6,Dempsey - Proton Racing,Porsche 911 RSR - 19,LMGTE Am,,Monza,6,2021,186,6:01:56.249,18 Laps,26.445,Michelin,Classified,122.0,1:47.209,194.5,Andrew HARYANTO,Marco SEEFRIED,Alessio PICARIELLO
AF Corse #54,25,7,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,Monza,6,2021,186,6:02:01.153,18 Laps,4.904,Michelin,Classified,162.0,1:47.315,194.3,Thomas FLOHR,Francesco CASTELLACCI,Giancarlo FISICHELLA
Iron Lynx #85,26,8,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,,Monza,6,2021,185,6:01:14.527,19 Laps,1 Laps,Michelin,Classified,121.0,1:47.718,193.6,Rahel FREY,Michelle GATTING,Sarah BOVY
GR Racing #86,27,9,GR Racing,Porsche 911 RSR - 19,LMGTE Am,,Monza,6,2021,185,6:01:29.699,19 Laps,15.172,Michelin,Classified,151.0,1:47.659,193.7,Michael WAINWRIGHT,Benjamin BARKER,Tom GAMBLE
AF Corse #61,28,10,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,Monza,6,2021,185,6:02:23.652,19 Laps,53.953,Michelin,Classified,162.0,1:47.901,193.3,Christoph ULRICH,Simon MANN,Toni VILANDER
Cetilar Racing #47,29,11,Cetilar Racing,Ferrari 488 GTE Evo,LMGTE Am,,Monza,6,2021,184,6:01:42.509,20 Laps,1 Laps,Michelin,Classified,152.0,1:47.104,194.7,Roberto LACORTE,Giorgio SERNAGIOTTO,Antonio FUOCO
Team Project 1 #46,30,12,Team Project 1,Porsche 911 RSR - 19,LMGTE Am,,Monza,6,2021,183,6:01:56.405,21 Laps,1 Laps,Michelin,Classified,181.0,1:47.907,193.3,Dennis OLSEN,Anders BUCHARDT,Maxwell ROOT
Rinaldi Racing #388,31,13,Rinaldi Racing,Ferrari 488 GTE Evo,LMGTE Am,,Monza,6,2021,182,6:03:47.423,22 Laps,1 Laps,Michelin,Classified,128.0,1:47.712,193.6,Pierre EHRET,Christian HOOK,Jeroen BLEEKEMOLEN
TF Sport #33,32,14,TF Sport,Aston Martin Vantage AMR,LMGTE Am,,Monza,6,2021,175,6:02:07.679,29 Laps,7 Laps,Michelin,Classified,5.0,1:47.633,193.8,Ben KEATING,Dylan PEREIRA,Felipe FRAGA
Toyota Gazoo Racing #8,33,4,Toyota Gazoo Racing,Toyota GR010 HYBRID,HYPERCAR,H,Monza,6,2021,161,6:01:17.340,43 Laps,14 Laps,Michelin,Classified,121.0,1:37.191,214.6,Sébastien BUEMI,Kazuki NAKAJIMA,Brendon HARTLEY
JOTA #38,34,12,JOTA,Oreca 07 - Gibson,LMP2,,Monza,6,2021,112,6:02:46.524,92 Laps,49 Laps,Goodyear,Not classified,127.0,1:39.953,208.6,Roberto GONZALEZ,Antonio Felix DA COSTA,Anthony DAVIDSON
Glickenhaus Racing #708,35,5,Glickenhaus Racing,Glickenhaus 007 LMH,HYPERCAR,,Monza,6,2021,90,2:51:05.377,114 Laps,22 Laps,Michelin,Retired,53.0,1:37.955,212.9,Luis Felipe DERANI,Gustavo MENEZES,Olivier PLA
Iron Lynx #60,36,15,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,,Monza,6,2021,37,3:41:10.399,167 Laps,53 Laps,Michelin,Retired,16.0,1:47.750,193.5,Claudio SCHIAVONI,Andrea PICCINI,Matteo CRESSONI
Toyota Gazoo Racing #8,1,1,Toyota Gazoo Racing,Toyota GR010 HYBRID,HYPERCAR,H,Bahrain,8,2021,247,8:01:25.441,,,Michelin,Classified,110.0,1:49.472,178.0,Sébastien BUEMI,Kazuki NAKAJIMA,Brendon HARTLEY
Toyota Gazoo Racing #7,2,2,Toyota Gazoo Racing,Toyota GR010 HYBRID,HYPERCAR,H,Bahrain,8,2021,247,8:01:32.792,7.351,7.351,Michelin,Classified,2.0,1:49.448,178.0,Mike CONWAY,Kamui KOBAYASHI,Jose Maria LOPEZ
Alpine Elf Matmut #36,3,3,Alpine Elf Matmut,Alpine A480 - Gibson,HYPERCAR,,Bahrain,8,2021,241,8:03:19.446,6 Laps,6 Laps,Michelin,Classified,2.0,1:49.496,177.9,André NEGRÃO,Nicolas LAPIERRE,Matthieu VAXIVIERE
Team WRT #31,4,1,Team WRT,Oreca 07 - Gibson,LMP2,,Bahrain,8,2021,240,8:01:55.473,7 Laps,1 Laps,Goodyear,Classified,209.0,1:52.657,172.9,Robin FRIJNS,Ferdinand HABSBURG,Charles MILESI
JOTA #38,5,2,JOTA,Oreca 07 - Gibson,LMP2,,Bahrain,8,2021,240,8:03:09.793,7 Laps,1'14.320,Goodyear,Classified,105.0,1:52.322,173.5,Roberto GONZALEZ,Antonio Felix DA COSTA,Anthony DAVIDSON
JOTA #28,6,3,JOTA,Oreca 07 - Gibson,LMP2,,Bahrain,8,2021,240,8:03:14.451,7 Laps,4.658,Goodyear,Classified,196.0,1:52.289,173.5,Sean GELAEL,Stoffel VANDOORNE,Tom BLOMQVIST
United Autosports USA #22,7,4,United Autosports USA,Oreca 07 - Gibson,LMP2,,Bahrain,8,2021,240,8:03:18.861,7 Laps,4.410,Goodyear,Classified,149.0,1:53.118,172.2,Philip HANSON,Fabio SCHERER,Filipe ALBUQUERQUE
Inter Europol Competition #34,8,5,Inter Europol Competition,Oreca 07 - Gibson,LMP2,,Bahrain,8,2021,238,8:02:38.468,9 Laps,2 Laps,Goodyear,Classified,194.0,1:52.336,173.4,Jakub SMIECHOWSKI,Renger VAN DER ZANDE,Alex BRUNDLE
Racing Team Nederland #29,9,6,Racing Team Nederland,Oreca 07 - Gibson,LMP2,P/A,Bahrain,8,2021,238,8:02:42.164,9 Laps,3.696,Goodyear,Classified,178.0,1:52.961,172.5,Frits VAN EERD,Giedo VAN DER GARDE,Job VAN UITERT
Realteam Racing #70,10,7,Realteam Racing,Oreca 07 - Gibson,LMP2,P/A,Bahrain,8,2021,238,8:03:01.308,9 Laps,19.144,Goodyear,Classified,199.0,1:52.163,173.7,Esteban GARCIA,Loïc DUVAL,Norman NATO
High Class Racing #20,11,8,High Class Racing,Oreca 07 - Gibson,LMP2,P/A,Bahrain,8,2021,237,8:02:30.265,10 Laps,1 Laps,Goodyear,Classified,97.0,1:52.213,173.6,Dennis ANDERSEN,Anders FJORDBACH,Robert KUBICA
Richard Mille Racing Team #1,12,9,Richard Mille Racing Team,Oreca 07 - Gibson,LMP2,,Bahrain,8,2021,237,8:02:46.944,10 Laps,16.679,Goodyear,Classified,193.0,1:53.470,171.7,Tatiana CALDERON,Sophia FLOERSCH,Beitske VISSER
DragonSpeed USA #21,13,10,DragonSpeed USA,Oreca 07 - Gibson,LMP2,P/A,Bahrain,8,2021,236,8:01:33.150,11 Laps,1 Laps,Goodyear,Classified,216.0,1:53.302,172.0,Henrik HEDMAN,Juan Pablo MONTOYA,Ben HANLEY
ARC Bratislava #44,14,11,ARC Bratislava,Oreca 07 - Gibson,LMP2,P/A,Bahrain,8,2021,235,8:01:50.576,12 Laps,1 Laps,Goodyear,Classified,190.0,1:53.986,170.9,Miroslav KONOPKA,Oliver CALDWELL,Nelson PANCIATICI
AF Corse #51,15,1,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,,Bahrain,8,2021,233,8:02:35.811,14 Laps,2 Laps,Michelin,Classified,103.0,1:57.333,166.1,Alessandro PIER GUIDI,James CALADO,
Porsche GT Team #92,16,2,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,,Bahrain,8,2021,233,8:02:39.060,14 Laps,3.249,Michelin,Classified,146.0,1:57.043,166.5,Kevin ESTRE,Neel JANI,Michael CHRISTENSEN
AF Corse #52,17,3,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,,Bahrain,8,2021,233,8:02:54.204,14 Laps,15.144,Michelin,Classified,143.0,1:57.032,166.5,Daniel SERRA,Miguel MOLINA,
Porsche GT Team #91,18,4,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,,Bahrain,8,2021,231,8:01:28.318,16 Laps,2 Laps,Michelin,Classified,163.0,1:57.469,165.9,Gianmaria BRUNI,Richard LIETZ,Frédéric MAKOWIECKI
AF Corse #83,19,1,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,Bahrain,8,2021,230,8:02:37.234,17 Laps,1 Laps,Michelin,Classified,196.0,1:57.242,166.2,François PERRODO,Nicklas NIELSEN,Alessio ROVERA
Dempsey - Proton Racing #77,20,2,Dempsey - Proton Racing,Porsche 911 RSR - 19,LMGTE Am,,Bahrain,8,2021,229,8:01:32.447,18 Laps,1 Laps,Michelin,Classified,180.0,1:58.278,164.7,Christian RIED,Jaxon EVANS,Matt CAMPBELL
Team Project 1 #56,21,3,Team Project 1,Porsche 911 RSR - 19,LMGTE Am,,Bahrain,8,2021,229,8:01:32.570,18 Laps,0.123,Michelin,Classified,141.0,1:57.436,165.9,Egidio PERFETTI,Matteo CAIROLI,Riccardo PERA
Cetilar Racing #47,22,4,Cetilar Racing,Ferrari 488 GTE Evo,LMGTE Am,,Bahrain,8,2021,229,8:02:06.615,18 Laps,34.045,Michelin,Classified,207.0,1:58.552,164.3,Roberto LACORTE,Giorgio SERNAGIOTTO,Antonio FUOCO
Kessel Racing #57,23,5,Kessel Racing,Ferrari 488 GTE Evo,LMGTE Am,,Bahrain,8,2021,228,8:01:38.975,19 Laps,1 Laps,Michelin,Classified,202.0,1:58.026,165.1,Takeshi KIMURA,Mikkel JENSEN,Scott ANDREWS
Iron Lynx #60,24,6,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,,Bahrain,8,2021,228,8:03:25.238,19 Laps,1'46.263,Michelin,Classified,138.0,1:58.199,164.8,Claudio SCHIAVONI,Andrea PICCINI,Matteo CRESSONI
AF Corse #54,25,7,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,,Bahrain,8,2021,227,8:01:26.403,20 Laps,1 Laps,Michelin,Classified,145.0,1:58.786,164.0,Thomas FLOHR,Francesco CASTELLACCI,Giancarlo FISICHELLA
D'Station Racing #777,26,8,D'Station Racing,Aston Martin Vantage AMR,LMGTE Am,,Bahrain,8,2021,227,8:01:54.194,20 Laps,27.791,Michelin,Classified,119.0,1:58.915,163.8,Satoshi HOSHINO,Tomonobu FUJII,Andrew WATSON
Iron Lynx #85,27,9,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,,Bahrain,8,2021,225,8:01:42.827,22 Laps,2 Laps,Michelin,Classified,101.0,1:59.747,162.7,Rahel FREY,Sarah BOVY,Katherine LEGGE
GR Racing #86,28,10,GR Racing,Porsche 911 RSR - 19,LMGTE Am,,Bahrain,8,2021,224,8:01:36.605,23 Laps,1 Laps,Michelin,Classified,197.0,1:57.695,165.5,Michael WAINWRIGHT,Benjamin BARKER,Tom GAMBLE
Aston Martin Racing #98,29,11,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Am,,Bahrain,8,2021,223,8:02:12.670,24 Laps,1 Laps,Michelin,Classified,129.0,1:58.624,164.2,Paul DALLA LANA,Augusto FARFUS,Marcos GOMES
TF Sport #33,30,12,TF Sport,Aston Martin Vantage AMR,LMGTE Am,,Bahrain,8,2021,128,6:02:43.988,119 Laps,95 Laps,Michelin,Not classified,96.0,1:58.799,164.0,Ben KEATING,Dylan PEREIRA,Felipe FRAGA
Dempsey - Proton Racing #88,31,13,Dempsey - Proton Racing,Porsche 911 RSR - 19,LMGTE Am,,Bahrain,8,2021,90,3:10:36.849,157 Laps,38 Laps,Michelin,Not classified,89.0,1:58.941,163.8,Khaled AL QUBAISI,Axcil JEFFERIES,Julien ANDLAUER
Toyota Gazoo Racing #7,1,1,Toyota Gazoo Racing,Toyota GR010 HYBRID,HYPERCAR,H,Bahrain 2,6,2021,185,6:00:33.356,,,Michelin,Classified,2.0,1:49.051,178.7,Mike CONWAY,Kamui KOBAYASHI,Jose Maria LOPEZ
Toyota Gazoo Racing #8,2,2,Toyota Gazoo Racing,Toyota GR010 HYBRID,HYPERCAR,H,Bahrain 2,6,2021,185,6:01:24.757,51.401,51.401,Michelin,Classified,2.0,1:48.926,178.9,Sébastien BUEMI,Kazuki NAKAJIMA,Brendon HARTLEY
Alpine Elf Matmut #36,3,3,Alpine Elf Matmut,Alpine A480 - Gibson,HYPERCAR,,Bahrain 2,6,2021,184,6:01:45.852,1 Laps,1 Laps,Michelin,Classified,2.0,1:49.291,178.3,André NEGRÃO,Nicolas LAPIERRE,Matthieu VAXIVIERE
Team WRT #31,4,1,Team WRT,Oreca 07 - Gibson,LMP2,,Bahrain 2,6,2021,180,6:01:01.723,5 Laps,4 Laps,Goodyear,Classified,176.0,1:53.215,172.1,Robin FRIJNS,Ferdinand HABSBURG,Charles MILESI
JOTA #28,5,2,JOTA,Oreca 07 - Gibson,LMP2,,Bahrain 2,6,2021,180,6:02:03.595,5 Laps,1'01.872,Goodyear,Classified,3.0,1:53.840,171.1,Sean GELAEL,Stoffel VANDOORNE,Tom BLOMQVIST
JOTA #38,6,3,JOTA,Oreca 07 - Gibson,LMP2,,Bahrain 2,6,2021,180,6:02:18.022,5 Laps,14.427,Goodyear,Classified,129.0,1:53.515,171.6,Roberto GONZALEZ,Antonio Felix DA COSTA,Anthony DAVIDSON
United Autosports USA #22,7,4,United Autosports USA,Oreca 07 - Gibson,LMP2,,Bahrain 2,6,2021,180,6:02:25.992,5 Laps,7.970,Goodyear,Classified,2.0,1:53.248,172.0,Philip HANSON,Fabio SCHERER,Filipe ALBUQUERQUE
Racing Team Nederland #29,8,5,Racing Team Nederland,Oreca 07 - Gibson,LMP2,P/A,Bahrain 2,6,2021,178,6:00:43.549,7 Laps,2 Laps,Goodyear,Classified,2.0,1:53.509,171.6,Frits VAN EERD,Giedo VAN DER GARDE,Job VAN UITERT
Richard Mille Racing Team #1,9,6,Richard Mille Racing Team,Oreca 07 - Gibson,LMP2,,Bahrain 2,6,2021,178,6:02:07.544,7 Laps,1'23.995,Goodyear,Classified,50.0,1:54.491,170.2,Sophia FLOERSCH,Beitske VISSER,Gabriel AUBRY
Realteam Racing #70,10,7,Realteam Racing,Oreca 07 - Gibson,LMP2,P/A,Bahrain 2,6,2021,178,6:02:07.778,7 Laps,0.234,Goodyear,Classified,2.0,1:53.465,171.7,Esteban GARCIA,Loïc DUVAL,Norman NATO
High Class Racing #20,11,8,High Class Racing,Oreca 07 - Gibson,LMP2,P/A,Bahrain 2,6,2021,177,6:02:19.204,8 Laps,1 Laps,Goodyear,Classified,45.0,1:54.044,170.8,Dennis ANDERSEN,Anders FJORDBACH,Robert KUBICA
Inter Europol Competition #34,12,9,Inter Europol Competition,Oreca 07 - Gibson,LMP2,,Bahrain 2,6,2021,175,6:00:36.554,10 Laps,2 Laps,Goodyear,Classified,101.0,1:53.582,171.5,Jakub SMIECHOWSKI,Renger VAN DER ZANDE,Alex BRUNDLE
Porsche GT Team #92,13,1,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,,Bahrain 2,6,2021,174,6:01:41.098,11 Laps,1 Laps,Michelin,Classified,2.0,1:58.641,164.2,Kevin ESTRE,Neel JANI,
Porsche GT Team #91,14,2,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,,Bahrain 2,6,2021,174,6:01:41.788,11 Laps,0.690,Michelin,Classified,2.0,1:58.590,164.3,Gianmaria BRUNI,Richard LIETZ,
AF Corse #51,15,3,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,,Bahrain 2,6,2021,174,6:02:16.922,11 Laps,35.134,Michelin,Classified,2.0,1:59.288,163.3,Alessandro PIER GUIDI,James CALADO,
